anahtar,adet,ornek_yazim,ilk_yer
"امنوا",263,"اٰمَنُواۚ","2:9:4"
"شيء",190,"شَيْءٍ","2:20:24"
"يا",160,"يَا","2:40:1"
"ياايها",134,"يَٓااَيُّهَا","2:21:1"
"ورسوله",66,"وَرَسُولِهٖۚ","2:279:8"
"ايات",52,"اٰيَاتٍ","2:99:4"
"اية",47,"اٰيَةٍ","2:106:4"
"لانهار",43,"الْاَنْهَارُؕ","2:25:12"
"لقران",43,"الْقُرْاٰنُ","2:185:6"
"اسرايل",41,"اِسْرَٓائٖلَ","2:40:3"
"صالحا",36,"صَالِحًا","2:62:14"
"بايات",34,"بِاٰيَاتِ","2:61:50"
"اياتنا",34,"اٰيَاتِنَا","2:151:8"
"لاء",34,"اٰلَٓاءَ","7:69:24"
"صراط",32,"صِرَاطَ","1:7:1"
"او࣒توا",32,"اُو࣒تُوا","2:101:14"
"اياته",31,"اٰيَاتِهٖ","2:73:9"
"فضله",28,"فَضْلِهٖ","2:90:15"
"ضلال",27,"ضَلَالٍ","3:164:24"
"سلام",19,"سَلَامٌ","6:54:7"
"واحد",18,"وَاحِدٍ","2:61:9"
"اتيناهم",18,"اٰتَيْنَاهُمُ","2:121:2"
"لهة",17,"اٰلِهَةً","6:19:24"
"متاع",16,"مَتَاعٌ","2:241:2"
"رحمته",16,"رَحْمَتِهٖؕ","7:57:8"
"ادم",15,"اٰدَمَ","2:31:2"
"لتورية",15,"التَّوْرٰيةَ","3:3:10"
"لخاسرون",14,"الْخَاسِرُونَ","2:27:20"
"سبحانه",14,"سُبْحَانَهُؕ","2:116:5"
"او࣒تى",14,"اُو࣒تِيَ","2:136:16"
"ازواجا",14,"اَزْوَاجًا","2:234:5"
"داو࣒د",14,"دَاوُ࣒دُ","2:251:5"
"اتيهم",14,"اٰتٰيهُمُ","3:170:3"
"ارايتم",14,"اَرَاَيْتُمْ","6:46:2"
"انزلناه",14,"اَنْزَلْنَاهُ","6:92:3"
"لاو࣒لى",14,"الْاُو࣒لٰى","20:21:7"
"غيره",13,"غَيْرَهُؕ","2:230:11"
"سبيله",13,"سَبٖيلِهٖ","5:35:11"
"اتيكم",13,"اٰتٰيكُمْ","5:48:40"
"يستهزؤ࣒ن",13,"يَسْتَهْزِؤُ࣒نَ","6:5:12"
"عالم",13,"عَالِمُ","6:73:19"
"سلطان",13,"سُلْطَانٍؕ","7:71:20"
"ادريك",13,"اَدْرٰيكَ","69:3:2"
"ورسله",12,"وَرُسُلِهٖ","2:98:6"
"بامره",12,"بِاَمْرِهٖؕ","2:109:27"
"اخر",12,"اُخَرَؕ","2:184:13"
"كتابا",12,"كِتَابًا","3:145:9"
"لبينات",11,"الْبَيِّنَاتِ","2:87:13"
"سلطانا",11,"سُلْطَانًاۚ","3:151:14"
"ءاذا",11,"ءَاِذَا","13:5:5"
"اباءنا",10,"اٰبَٓاءَنَاؕ","2:170:14"
"را",10,"رَاٰ","6:76:5"
"اياتى",10,"اٰيَاتٖي","6:130:11"
"لنفسه",10,"لِنَفْسِهٖۚ","10:108:13"
"ويا",10,"وَيَا","11:29:1"
"بغافل",9,"بِغَافِلٍ","2:74:35"
"ميثاق",9,"مٖيثَاقَ","2:83:3"
"واسمعيل",9,"وَاِسْمٰعٖيلَ","2:125:15"
"باذنه",9,"بِاِذْنِهٖؕ","2:213:42"
"لابصار",9,"الْاَبْصَارِ","3:13:29"
"واتيناه",9,"وَاٰتَيْنَاهُ","5:46:13"
"بريء",9,"بَرٖٓيءٌ","6:19:35"
"او࣒حى",9,"اُو࣒حِيَ","6:93:10"
"اتيك",9,"اَتٰيكَ","20:9:2"
"اخرين",8,"اٰخَرٖينَ","4:91:2"
"ابواب",8,"اَبْوَابَ","6:44:8"
"هدينا",8,"هَدٰينَا","6:71:16"
"تالله",8,"تَاللّٰهِ","12:73:2"
"اذانهم",7,"اٰذَانِهِمْ","2:19:12"
"ازواج",7,"اَزْوَاجٌ","2:25:30"
"وامنوا",7,"وَاٰمِنُوا","2:41:1"
"لعجل",7,"الْعِجْلَ","2:51:8"
"طيبات",7,"طَيِّبَاتِ","2:57:10"
"ورحمته",7,"وَرَحْمَتُهُ","2:64:10"
"واتينا",7,"وَاٰتَيْنَا","2:87:9"
"اذى",7,"اَذًى","2:196:24"
"متاعا",7,"مَتَاعًا","2:236:21"
"وجنوده",7,"وَجُنُودِهٖؕ","2:249:42"
"لربوا",7,"الرِّبٰوا","2:275:3"
"ثواب",7,"ثَوَابَ","3:145:13"
"وعده",7,"وَعْدَهُٓ","3:152:4"
"ايمانا",7,"اٖيمَانًاࣗ","3:173:12"
"جعلناه",7,"جَعَلْنَاهُ","6:9:2"
"خالق",7,"خَالِقُ","6:102:8"
"اباؤنا",7,"اٰبَٓاؤُ࣑نَا","6:148:10"
"امنت",7,"اٰمَنَتْ","6:158:26"
"ساحر",7,"سَاحِرٍ","7:112:3"
"يعيده",7,"يُعٖيدُهُ","10:4:11"
"والابصار",7,"وَالْاَبْصَارَ","10:31:10"
"افتريه",7,"افْتَرٰيهُؕ","10:38:3"
"لمنذرين",7,"الْمُنْذَرٖينَ","10:73:17"
"سلاما",7,"سَلَامًاؕ","11:69:7"
"امنين",7,"اٰمِنٖينَؕ","12:99:14"
"قرانا",7,"قُرْاٰنًا","13:31:3"
"افرايتم",7,"اَفَرَاَيْتُمْ","26:75:2"
"احسانا",6,"اِحْسَانًا","2:83:11"
"ذوالفضل",6,"ذُوالْفَضْلِ","2:105:23"
"بشيء",6,"بِشَيْءٍ","2:155:2"
"رؤ࣒ف",6,"رَؤُ࣒فٌ","2:207:10"
"ويسلونك",6,"وَيَسْـَٔلُونَكَ","2:219:15"
